name,mainInfo,rightAscension,declination,distance,visualBrightness,apparentDimension,link
 Messier 1 ,Supernova Remnant M1 (NGC 1952),05 : 34.5 (h:m),+22 : 01 (deg:m),6.3 (kly),8.4 (mag) ,6x4 (arc min),http://www.messier.seds.org/m/m001.html
 Messier 2 ,Globular Cluster  M2 (NGC 7089),21 : 33.5 (h:m),-00 : 49 (deg:m),37.5 (kly),6.5 (mag) ,16.0 (arc min),http://www.messier.seds.org/m/m002.html
 Messier 3 ,Globular Cluster  M3 (NGC 5272),13 : 42.2 (h:m),+28 : 23 (deg:m),33.9 (kly),6.2 (mag) ,18.0 (arc min),http://www.messier.seds.org/m/m003.html
 Messier 4 ,Globular Cluster  M4 (NGC 6121),16 : 23.6 (h:m),-26 : 32 (deg:m),7.2 (kly),5.6 (mag) ,36.0 (arc min),http://www.messier.seds.org/m/m004.html
 Messier 5 ,Globular Cluster  M5 (NGC 5904),15 : 18.6 (h:m),+02 : 05 (deg:m),24.5 (kly),5.6 (mag) ,23.0 (arc min),http://www.messier.seds.org/m/m005.html
 Messier 6 ,Open Cluster  M6 (NGC 6405),17 : 40.1 (h:m),-32 : 13 (deg:m),1.6 (kly),4.2 (mag) ,25.0 (arc min),http://www.messier.seds.org/m/m006.html
 Messier 7 ,Open Cluster  M7 (NGC 6475),17 : 53.9 (h:m),-34 : 49 (deg:m),0.8 (kly),3.3 (mag) ,80.0 (arc min),http://www.messier.seds.org/m/m007.html
 Messier 8 ,Starforming Nebula M8 (NGC 6523),18 : 03.8 (h:m),-24 : 23 (deg:m),5.2 (kly),6.0 (mag) ,90x40 (arc min),http://www.messier.seds.org/m/m008.html
 Messier 9 ,Globular Cluster  M9 (NGC 6333),17 : 19.2 (h:m),-18 : 31 (deg:m),25.8 (kly),7.7 (mag) ,12.0 (arc min),http://www.messier.seds.org/m/m009.html
 Messier 10 ,Globular Cluster  M10 (NGC 6254),16 : 57.1 (h:m),-04 : 06 (deg:m),14.3 (kly),6.6 (mag) ,20.0 (arc min),http://www.messier.seds.org/m/m010.html
 Messier 11 ,Open Cluster  M11 (NGC 6705),18 : 51.1 (h:m),-06 : 16 (deg:m),6.0 (kly),6.3 (mag) ,14.0 (arc min),http://www.messier.seds.org/m/m011.html
 Messier 12 ,Globular Cluster  M12 (NGC 6218),16 : 47.2 (h:m),-01 : 57 (deg:m),16.0 (kly),6.7 (mag) ,16.0 (arc min),http://www.messier.seds.org/m/m012.html
 Messier 13 ,Globular Cluster  M13 (NGC 6205),16 : 41.7 (h:m),+36 : 28 (deg:m),25.1 (kly),5.8 (mag) ,20.0 (arc min),http://www.messier.seds.org/m/m013.html
